# %ECSV 1.0
# ---
# datatype:
# - {name: Buid, datatype: string}
# - {name: 'ROI #', datatype: int64}
# - {name: 'CellID #', datatype: int64}
# - {name: 'Barcode #', datatype: int64}
# - {name: id, datatype: int64}
# - {name: zcentroid, datatype: float32}
# - {name: xcentroid, datatype: float32}
# - {name: ycentroid, datatype: float32}
# - {name: sharpness, datatype: float32}
# - {name: roundness1, datatype: float32}
# - {name: roundness2, datatype: float32}
# - {name: npix, datatype: int64}
# - {name: sky, datatype: float32}
# - {name: peak, datatype: float32}
# - {name: flux, datatype: float32}
# - {name: mag, datatype: float32}
# schema: astropy-2.0
Buid "ROI #" "CellID #" "Barcode #" id zcentroid xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
7e41008a-68d4-45ad-8c91-02131e5c7420 5 0 26 31 15.3845 50.990574 255.61409 0.52 4.2074795 0.52 39 0.0 1019.0 20380.0 -10.77301
940c5a96-a2e4-4caf-aedc-a081e82b2300 5 0 26 32 15.863993 380.11374 284.60016 0.5733333 4.346669 0.5733333 43 0.0 488.0 9760.0 -9.973624
b22ee8af-42a1-4271-bd26-f2fd6414a414 5 0 26 33 15.498871 363.89075 231.91324 0.552381 4.8026004 0.552381 58 0.0 403.0 8060.0 -9.765838
4c7164b7-f418-4429-a655-5c7e86739d3d 5 0 26 34 16.631632 4.760859 336.50165 0.4955357 5.9626794 0.4955357 111 0.0 1145.0 22900.0 -10.899589
f0d69990-6162-4fa0-b12b-3a467b5c99d0 5 0 26 35 16.420681 153.4676 444.57956 0.28333333 3.1901915 0.28333333 17 0.0 1040.0 20800.0 -10.795158
07128d9f-16e7-485b-94bb-dd01e7d833ef 5 0 26 36 16.690159 342.28262 41.058537 0.5092593 7.489877 0.5092593 220 0.0 4791.0 95820.0 -12.45364
27233fa6-a349-422b-b884-ff84e99e02ae 5 0 26 37 16.55127 153.68008 444.54797 0.37333333 3.767499 0.37333333 28 0.0 949.0 18980.0 -10.695741
48f57bb6-f4ca-42db-8153-f7c3bdf3e4c9 5 0 26 38 18.010284 163.67024 40.77007 0.46153846 10.103342 0.46153846 540 0.0 59294.0 1185880.0 -15.1851015
cbf591e0-b433-4715-82cf-f8cbc5645abb 5 0 26 39 17.71831 478.67273 97.76646 0.5223214 6.0682354 0.5223214 117 0.0 1555.0 31100.0 -11.231901
a8b01869-5164-4881-8576-3a9824370242 5 0 27 0 8.245153 406.3272 324.3079 0.5314815 8.183914 0.5314815 287 0.0 8749.801 174996.02 -13.107571
0c2ca5db-fe8f-4324-ae55-47be252def82 5 0 27 1 9.182356 399.8012 21.188007 0.42857143 4.85718 0.42857143 60 0.0 682.4894 13649.788 -10.337814
03159544-09c4-4d6a-8c12-efb496dbc502 5 0 27 2 9.487392 163.79718 53.075897 0.4990476 11.450066 0.4990476 786 0.0 29063.768 581275.4 -14.410954
9003a440-9827-4194-b8e9-56f2b0c9d160 5 0 27 3 9.234499 78.96509 139.15274 0.53333336 3.93898 0.53333336 32 0.0 1125.789 22515.777 -10.881217
05ec9e70-4477-4f33-bf93-d16bbfe44d7c 5 0 27 4 9.735231 51.701954 221.64127 0.33333334 4.962804 0.33333334 64 0.0 730.37244 14607.449 -10.411436
51b0460b-e144-4557-9feb-92629f54ca23 5 0 27 5 7.902036 47.365067 250.61615 0.4625 4.1342907 0.4625 37 0.0 1325.5594 26511.19 -11.058573
17bfe016-2079-484a-9d95-e67f75c55569 5 0 27 6 8.633867 47.311874 251.80893 0.36666667 6.317207 0.36666667 132 0.0 1294.1766 25883.531 -11.032558
2602ec85-2ada-4bd9-a7bc-48633f04d257 5 0 27 7 8.6371155 433.90594 312.8533 0.45833334 5.0139704 0.45833334 66 0.0 1893.1676 37863.35 -11.445548
07bdc599-d68e-4874-8796-e190945ec237 5 0 27 8 9.423615 36.33984 318.19583 0.43055555 4.91056 0.43055555 62 0.0 849.21564 16984.312 -10.57512
118a3424-b46f-4da1-ab2f-308f6935ad40 5 0 27 9 9.602961 501.1093 348.05173 0.48958334 5.641264 0.48958334 94 0.0 571.7762 11435.523 -10.14564
ef389434-1abf-414b-8ba1-543484a9bfc4 5 0 27 10 7.160381 220.4285 369.69318 0.45918366 10.636057 0.45918366 630 0.0 20694.96 413899.22 -14.042236
abe3ea29-833c-4e4d-98af-d00f661ea4db 5 0 27 11 8.400181 316.43622 404.6007 0.63492066 5.3460183 0.63492066 80 0.0 1034.269 20685.38 -10.789159
c599760b-cc3b-4499-b520-257e45a381f2 5 0 27 12 7.459193 148.56964 424.99225 0.5231481 9.521673 0.5231481 452 0.0 8126.403 162528.05 -13.027321
927805ec-3880-4c20-a351-36216788fb30 5 0 27 13 9.148938 333.1286 446.7938 0.46666667 4.0584154 0.46666667 35 0.0 793.535 15870.7 -10.501491
dd70db22-cc18-4950-ba6b-589d2c21a462 5 0 27 14 10.12176 315.70752 509.0 0.62916666 6.6068244 0.62916666 151 0.0 4720.285 94405.7 -12.437495
b3058d9b-c5c2-40cc-b3ef-04b86b1179b3 5 0 27 15 10.03401 47.651363 264.91827 0.45555556 4.2782063 0.45555556 41 0.0 1353.3306 27066.611 -11.081085
e951e51c-645b-43d6-bcb1-3f8371809b8b 5 0 27 16 9.658515 399.92847 299.90012 0.40917107 7.623653 0.40917107 232 0.0 7653.1235 153062.47 -12.962172
da6944f1-fc1b-4056-b2da-86c976077deb 5 0 27 17 10.065778 149.54759 376.56027 0.52 4.2074795 0.52 39 0.0 1015.7495 20314.99 -10.769542
4b5ed4d5-8ded-47b1-ae31-6c504360592b 5 0 27 18 11.470906 100.8485 432.71994 0.38577777 11.835148 0.38577777 868 0.0 60070.82 1201416.4 -15.199234
2fb8e9f3-1699-42f6-ab80-2e501a86c30c 5 0 27 19 10.621168 282.2754 482.16705 0.5297619 6.9792237 0.5297619 178 0.0 898.45044 17969.008 -10.636311
a632b84b-7b32-47e1-a5b6-e81ae83dfc1a 5 0 27 20 13.208306 136.85365 10.123892 0.44444445 4.7467513 0.44444445 56 0.0 631.9085 12638.17 -10.25421
82bc9d8d-d47f-4f19-8036-8bdd72b3eaa3 5 0 27 21 12.038673 111.33761 202.2912 0.4 4.0967045 0.4 36 0.0 954.70404 19094.08 -10.702247
3f76060a-a8c6-484c-af50-109ac6c50cb4 5 0 27 22 13.212835 203.76627 397.74832 0.575 4.445491 0.575 46 0.0 5501.207 110024.14 -12.60372
041398a1-db11-42c6-b701-82f132b65e9c 5 0 27 23 13.282055 203.6907 397.9235 0.22135417 5.455151 0.22135417 85 0.0 6596.4976 131929.95 -12.8008585
fcde9f85-0717-43d0-bdb3-74497aebc7cd 5 0 27 24 12.151713 178.84991 407.52402 0.6 4.6895556 0.6 54 0.0 767.9127 15358.255 -10.465855
387c2326-5ebd-4af8-b8a6-6313bdb048a2 5 0 27 25 15.577189 79.59181 11.738045 0.48979592 10.602183 0.48979592 624 0.0 8800.738 176014.77 -13.113873
b09e842a-c390-40ca-a830-a3dc22176bf4 5 0 27 26 13.242474 454.7463 13.212052 0.51111114 4.445491 0.51111114 46 0.0 550.2176 11004.352 -10.103911
ea5bc6c9-1e7a-4014-b489-8f6fe6b9e44c 5 0 27 27 13.902082 469.1586 37.7039 0.48559672 7.6672177 0.48559672 236 0.0 12965.598 259311.95 -13.534556
7e6a95c2-7993-411e-8897-f6c9872d0ede 5 0 27 28 16.068333 175.53738 41.5024 0.3947591 9.625857 0.3947591 467 0.0 39629.027 792580.56 -14.747608
d85e2721-cf2e-4fea-bfdc-af3eed9efc15 5 0 27 29 14.06874 230.9335 60.54998 0.5925926 4.962804 0.5925926 64 0.0 1095.9596 21919.193 -10.852061
64c3b798-5881-430c-903d-df267825078b 5 0 27 30 15.351073 320.28952 130.15785 0.44125 8.768501 0.44125 353 0.0 8820.08 176401.6 -13.116257
abdb70e4-953d-4baf-840e-0e1159d41c13 5 0 27 31 13.542426 435.90756 293.77377 0.4675926 7.279769 0.4675926 202 0.0 5373.544 107470.875 -12.578227
